Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,Date
February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,CRB,26/02/11
February,Economy,UK,UK,59.03,EASYJET,CRB,27/12/11
February,Economy,UK,UK,71.98,FLYBE BRITISH EUROPEAN,CRB,28/02/11
February,Economy,UK,UK,59.03,EASYJET,CRB,22/04/11
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS,05/01/11
January,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS,27/03/12
January,Economy,UK,UK,102.31,FLYBE BRITISH EUROPEAN,IPS,02/05/11
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,04/09/11
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS,12/05/11
February,Economy,UK,UK,78.91,FLYBE BRITISH EUROPEAN,IPS,20/01/11
January,Economy,UK,UK,156.54,BRITISH AIRWAYS,IPS,16/03/11
January,Economy,UK,UK,295.59,BMI,IPS,15/03/12
January,Economy,UK,UK,71.03,EASYJET,IPS,12/02/11
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,01/10/11
February,Economy,UK,UK,116.54,BRITISH AIRWAYS,IPS,08/06/11
January,Economy,UK,UK,308.47,FLYBE BRITISH EUROPEAN,IPS,25/09/12
January,Economy,UK,UK,295.51,FLYBE BRITISH EUROPEAN,IPS,12/10/11
January,Economy,UK,UK,101.03,EASYJET,IPS,07/09/11
January,Economy,UK,UK,59.03,EASYJET,IPS,16/12/11
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,26/01/11
January,Economy,UK,UK,79.03,EASYJET,IPS,19/01/12
January,Economy,UK,UK,76.01,FLYBE BRITISH EUROPEAN,IPS,26/03/11
January,Economy,UK,UK,44.74,EASYJET,IPS,11/09/12
January,Economy,UK,Non EEA,91.03,EASYJET,IPS,27/07/12
January,Economy,UK,UK,54.74,EASYJET,IPS,04/01/11
January,Economy,UK,UK,195.59,BMI,IPS,22/04/12
January,Economy,UK,UK,99.91,FLYBE BRITISH EUROPEAN,IPS,05/01/12
January,Economy,UK,UK,124.31,FLYBE BRITISH EUROPEAN,IPS,20/05/12
January,Economy,UK,UK,132.01,FLYBE BRITISH EUROPEAN,IPS,17/06/12
